Lead Number,Lead Origin,Lead Source,ToBeConverted,TotalVisits,Total Time Spent on Website,Last Activity,Lead Quality,Last Notable Activity
658983,Landing Page Submission,Organic Search,1,8,1268,Email Opened,,Email Opened
658976,Landing Page Submission,Google,0,2,56,Email Bounced,,Modified
658932,API,Referral Sites,0,4,174,Email Link Clicked,,Modified
658917,Landing Page Submission,Direct Traffic,0,4,1149,Email Opened,,Email Opened
658888,Landing Page Submission,Direct Traffic,0,2,333,Email Opened,,Email Opened
658856,API,Organic Search,0,7,471,Email Opened,,Email Opened
658852,Landing Page Submission,Direct Traffic,1,3,1010,Email Opened,Might be,Email Opened
658831,API,Olark Chat,1,10,1815,Had a Phone Conversation,High in Relevance,Had a Phone Conversation
658828,Landing Page Submission,Direct Traffic,0,2,47,Email Link Clicked,,Email Link Clicked
658826,Landing Page Submission,Direct Traffic,1,3,1528,Email Opened,Might be,Modified
658793,Landing Page Submission,Google,1,6,919,Email Opened,High in Relevance,Email Opened
658779,API,Organic Search,0,10,194,Email Link Clicked,,Modified
658773,API,Organic Search,0,1,1173,Converted to Lead,,Modified
658766,API,Google,0,2,351,Email Opened,Might be,Email Opened
658756,Landing Page Submission,Referral Sites,0,12,493,Email Link Clicked,,Email Link Clicked
658744,Landing Page Submission,Direct Traffic,0,3,381,Page Visited on Website,Not Sure,Page Visited on Website
658714,API,Referral Sites,0,2,1944,Email Opened,,Email Opened
658689,Landing Page Submission,Google,0,5,65,Unreachable,Might be,Modified
658686,API,Organic Search,0,7,1334,Email Opened,,Modified
658677,API,Google,0,7,615,Form Submitted on Website,,Modified
658675,Lead Add Form,Reference,1,0,0,Email Opened,Low in Relevance,Email Opened
658656,API,Google,0,1,250,Email Bounced,,Modified
658652,Landing Page Submission,Direct Traffic,0,2,383,Email Link Clicked,,Email Link Clicked
658648,Lead Add Form,Welingak Website,1,,1240,,Low in Relevance,Modified
658634,Lead Add Form,Reference,1,0,0,Email Opened,Might be,Email Opened
658627,Lead Add Form,Welingak Website,1,,458,,,Modified
658623,Lead Add Form,Welingak Website,1,,1060,,,Modified
658620,API,Olark Chat,0,0,0,Email Opened,,Modified
658618,API,Referral Sites,0,4,904,Olark Chat Conversation,,Modified
658612,API,Google,0,1,164,Converted to Lead,,Modified
658606,API,Google,0,2,1793,Converted to Lead,,Modified
658597,API,Organic Search,0,5,1841,Olark Chat Conversation,,Modified
658571,API,Organic Search,1,8,877,Email Link Clicked,Might be,Email Link Clicked
658561,Lead Add Form,Reference,1,0,0,Unreachable,High in Relevance,Modified
658546,Landing Page Submission,Organic Search,1,12,1411,Email Opened,Might be,Email Opened
658531,API,Organic Search,1,6,385,Converted to Lead,Low in Relevance,Modified
658527,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
658481,API,Google,0,12,68,Page Visited on Website,,Modified
658470,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
658458,Landing Page Submission,Google,0,3,192,Email Opened,,Email Opened
658448,Landing Page Submission,Google,0,5,309,Olark Chat Conversation,,Modified
658432,Lead Add Form,Reference,1,,785,Approached upfront,Might be,Modified
658430,API,Organic Search,0,4,342,Email Opened,,Modified
658421,API,Google,0,2,78,Email Opened,,Email Opened
658407,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
658405,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
658398,API,Organic Search,1,5,1234,Email Opened,Low in Relevance,Email Opened
658353,API,Organic Search,0,8,14,Olark Chat Conversation,Worst,Modified
658323,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
658322,API,Referral Sites,0,4,77,Unreachable,,Modified
658321,API,Referral Sites,1,3,1299,Olark Chat Conversation,,Modified
658309,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Email Opened
658299,API,Referral Sites,0,2,457,Email Opened,,Modified
658288,API,Organic Search,0,5,358,Page Visited on Website,Not Sure,Modified
658281,Landing Page Submission,Direct Traffic,0,3,481,Email Link Clicked,,Email Link Clicked
658278,API,Direct Traffic,0,2,205,Olark Chat Conversation,,Modified
658277,Landing Page Submission,Direct Traffic,1,1,1106,Converted to Lead,Might be,Modified
658264,Landing Page Submission,Direct Traffic,1,9,1953,Email Opened,Might be,Modified
658258,Lead Add Form,Reference,1,,1070,,High in Relevance,Modified
658243,Lead Add Form,Reference,1,0,0,Email Opened,Might be,Email Opened
658234,Landing Page Submission,Google,0,5,207,Form Submitted on Website,,Modified
658231,Landing Page Submission,Direct Traffic,1,2,1587,Email Opened,Might be,Email Opened
658222,Landing Page Submission,Direct Traffic,1,2,1509,Email Opened,Worst,Modified
658220,API,Organic Search,0,4,331,Unreachable,Might be,Modified
658206,Landing Page Submission,Direct Traffic,0,4,187,Email Link Clicked,,Modified
658203,API,Organic Search,1,3,1407,Converted to Lead,Might be,Modified
658193,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Modified
658188,Landing Page Submission,Google,0,1,123,Converted to Lead,Might be,Modified
658178,API,Organic Search,0,1,100,Converted to Lead,,Modified
658142,Landing Page Submission,Direct Traffic,1,9,1164,Email Opened,Might be,Email Opened
658107,API,Olark Chat,0,0,0,Email Opened,,Email Opened
658089,Landing Page Submission,Direct Traffic,1,1,1362,Unreachable,Might be,Modified
658081,API,Direct Traffic,0,7,1051,Olark Chat Conversation,,Modified
658071,Landing Page Submission,Google,0,2,1816,Converted to Lead,,Modified
658070,Landing Page Submission,Direct Traffic,0,7,74,Unreachable,Not Sure,Modified
658063,API,Organic Search,0,13,54,Email Opened,Not Sure,Email Opened
658048,Landing Page Submission,Direct Traffic,1,3,1183,Email Opened,,Email Opened
658029,Landing Page Submission,Direct Traffic,0,3,66,Email Opened,Not Sure,Email Opened
658023,API,Olark Chat,0,3,1122,Email Opened,,Email Opened
658017,Landing Page Submission,Organic Search,0,6,135,Email Opened,Might be,Email Opened
658011,Landing Page Submission,Direct Traffic,0,9,307,Olark Chat Conversation,,Modified
657995,Landing Page Submission,Organic Search,0,12,28,Email Opened,Might be,Email Opened
657990,API,Olark Chat,0,0,0,Email Opened,,Email Opened
657971,Landing Page Submission,google,0,5,306,Page Visited on Website,,Modified
657968,Landing Page Submission,Direct Traffic,1,7,116,Email Opened,Low in Relevance,Email Opened
657951,Landing Page Submission,Direct Traffic,0,2,1054,Email Opened,Not Sure,Email Opened
657941,API,Organic Search,1,3,195,Converted to Lead,Might be,Modified
657920,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
657905,Landing Page Submission,Google,1,3,732,Email Opened,Might be,Email Opened
657902,API,Olark Chat,0,7,1130,Page Visited on Website,,Modified
657899,API,Organic Search,0,13,594,Had a Phone Conversation,Not Sure,Modified
657887,API,Organic Search,0,5,1117,Email Opened,,Email Opened
657882,API,Referral Sites,0,14,354,Unreachable,Might be,Modified
657879,API,Google,0,3,217,Unreachable,Might be,Modified
657828,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
657823,API,Direct Traffic,1,5,1837,Email Opened,High in Relevance,Email Opened
657821,Landing Page Submission,Google,0,1,302,Converted to Lead,,Modified
657803,Landing Page Submission,Google,0,6,32,Page Visited on Website,,Modified
657777,Landing Page Submission,Direct Traffic,0,1,1226,Converted to Lead,Not Sure,Modified
657754,Landing Page Submission,Google,0,4,144,Email Opened,,Email Opened
657741,API,Organic Search,1,2,631,Olark Chat Conversation,,Modified
657731,Landing Page Submission,Direct Traffic,1,1,891,Converted to Lead,Low in Relevance,Modified
657717,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
657703,API,Google,0,3,235,Email Opened,,Email Opened
657697,Landing Page Submission,Google,0,2,453,Email Link Clicked,,Modified
657691,API,Referral Sites,0,3,60,Page Visited on Website,,Page Visited on Website
657686,Lead Add Form,Welingak Website,1,0,0,Email Opened,,Modified
657676,API,Organic Search,0,9,96,Page Visited on Website,,Modified
657660,Lead Add Form,Welingak Website,1,0,0,Email Opened,,Email Opened
657655,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
657644,API,Referral Sites,1,11,825,Olark Chat Conversation,Low in Relevance,Modified
657643,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
657620,API,Direct Traffic,0,11,10,Page Visited on Website,,Page Visited on Website
657611,Lead Add Form,Reference,1,,1704,,Might be,Modified
657609,API,Organic Search,1,3,1154,Olark Chat Conversation,,Modified
657590,Lead Add Form,Reference,1,,1262,,High in Relevance,Modified
657586,Lead Add Form,Reference,1,0,0,Email Opened,Might be,Email Opened
657572,Landing Page Submission,Referral Sites,1,6,104,Email Opened,,Email Opened
657510,API,Google,0,3,331,Email Opened,,Email Opened
657502,Landing Page Submission,Google,0,5,294,Email Opened,Not Sure,Email Opened
657500,API,Organic Search,0,5,345,Email Opened,,Email Opened
657480,API,Google,0,2,172,Olark Chat Conversation,,Modified
657477,Landing Page Submission,Google,1,4,228,Email Opened,Low in Relevance,Email Opened
657470,Landing Page Submission,Organic Search,0,5,26,Email Opened,,Email Opened
657452,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
657436,API,Referral Sites,0,4,436,Email Link Clicked,,Email Link Clicked
657426,Landing Page Submission,google,0,5,1008,Page Visited on Website,,Modified
657423,Landing Page Submission,Referral Sites,0,17,71,Unreachable,Might be,Modified
657421,Landing Page Submission,Google,0,8,43,Olark Chat Conversation,Might be,Modified
657390,Landing Page Submission,Google,0,4,294,Email Opened,Not Sure,Email Opened
657388,API,Organic Search,0,2,1528,Olark Chat Conversation,,Modified
657386,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
657385,API,Olark Chat,0,0,0,Email Opened,,Email Opened
657381,API,Referral Sites,0,1,213,Converted to Lead,Not Sure,Modified
657379,Landing Page Submission,Organic Search,1,4,31,Email Opened,Might be,Email Opened
657356,API,Google,0,3,389,Email Opened,,Email Opened
657327,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
657318,API,Google,0,4,97,Olark Chat Conversation,,Modified
657316,Landing Page Submission,Direct Traffic,0,13,194,Email Opened,,Email Opened
657313,Landing Page Submission,Direct Traffic,1,2,526,Form Submitted on Website,Not Sure,Modified
657311,API,Google,0,10,11,View in browser link Clicked,,Modified
657302,API,Organic Search,0,5,297,Email Link Clicked,,Email Link Clicked
657295,Landing Page Submission,Direct Traffic,0,4,174,Email Opened,Not Sure,Email Opened
657267,Landing Page Submission,Organic Search,0,4,12,Page Visited on Website,Might be,Modified
657261,Landing Page Submission,Direct Traffic,1,5,254,Email Opened,,Email Opened
657247,Lead Add Form,Reference,1,,803,,Low in Relevance,Modified
657226,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
657225,Landing Page Submission,Google,1,4,595,Page Visited on Website,Not Sure,Modified
657224,API,Referral Sites,0,7,250,Email Opened,,Email Opened
657220,Landing Page Submission,Google,0,11,1189,Email Opened,Not Sure,Email Opened
657186,Landing Page Submission,Google,0,5,73,Email Opened,Might be,Email Opened
657183,Landing Page Submission,Direct Traffic,0,3,491,Email Opened,Low in Relevance,Modified
657174,API,Google,1,7,1281,Email Bounced,Might be,Email Bounced
657148,API,Organic Search,1,3,117,Olark Chat Conversation,Might be,Modified
657142,API,Google,0,5,1493,Email Opened,,Email Opened
657139,Landing Page Submission,Google,1,5,263,Email Opened,Might be,Email Opened
657138,API,Google,0,7,207,Email Opened,,Email Opened
657123,Landing Page Submission,Google,0,4,67,Page Visited on Website,Not Sure,Modified
657117,API,Referral Sites,0,6,866,Email Opened,,Email Opened
657101,Landing Page Submission,Organic Search,0,6,419,Unreachable,Not Sure,Modified
657092,API,Organic Search,0,11,188,Email Link Clicked,,Email Link Clicked
657077,API,Google,0,2,362,Email Link Clicked,,Modified
657073,Landing Page Submission,Google,0,3,199,Form Submitted on Website,Might be,Modified
657045,API,Google,1,10,556,Olark Chat Conversation,Might be,Modified
657038,API,Referral Sites,1,5,1536,Email Opened,Low in Relevance,Email Opened
657033,API,Google,1,4,1088,Page Visited on Website,High in Relevance,Modified
657032,Landing Page Submission,Referral Sites,1,6,863,Email Opened,Low in Relevance,Email Opened
657031,Landing Page Submission,Direct Traffic,0,4,1410,Email Bounced,,Modified
657014,API,Organic Search,0,8,76,Email Bounced,,Modified
657010,API,Olark Chat,0,0,0,Email Opened,,Email Opened
657002,Landing Page Submission,Direct Traffic,0,6,209,Page Visited on Website,Not Sure,Modified
656976,Landing Page Submission,Google,0,5,58,Email Opened,Not Sure,Email Opened
656962,API,Google,0,6,90,Page Visited on Website,Not Sure,Modified
656948,API,Organic Search,1,7,950,Email Opened,Might be,Email Opened
656945,API,Olark Chat,0,0,0,Email Opened,Low in Relevance,Modified
656939,Landing Page Submission,Google,0,8,149,Olark Chat Conversation,,Olark Chat Conversation
656938,Landing Page Submission,Direct Traffic,0,4,3,Olark Chat Conversation,Not Sure,Modified
656911,Landing Page Submission,Direct Traffic,1,7,901,Email Opened,Low in Relevance,Email Opened
656900,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
656896,API,Referral Sites,0,6,110,Email Link Clicked,,Email Link Clicked
656887,API,Olark Chat,0,0,0,Email Opened,,Email Opened
656880,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Email Opened
656875,API,Google,0,3,445,Email Link Clicked,,Modified
656859,Landing Page Submission,Google,0,7,1939,Email Opened,Not Sure,Email Opened
656852,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
656833,API,Google,0,3,199,Email Opened,Low in Relevance,Modified
656795,API,Direct Traffic,0,1,633,Converted to Lead,,Modified
656789,API,Google,0,4,457,Email Opened,,Modified
656778,API,Referral Sites,0,4,86,Olark Chat Conversation,,Modified
656776,Landing Page Submission,Google,0,7,57,Email Opened,,Email Opened
656754,API,Olark Chat,0,0,0,Email Opened,,Modified
656743,Landing Page Submission,Organic Search,1,21,1113,Email Opened,Low in Relevance,Email Opened
656729,API,Referral Sites,0,4,237,Email Opened,,Email Opened
656723,Landing Page Submission,Google,0,2,43,Form Submitted on Website,,Modified
656715,Lead Add Form,Reference,1,,43,,,Modified
656698,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
656685,Lead Add Form,Google,1,0,0,Email Opened,High in Relevance,Email Opened
656682,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
656681,API,Organic Search,0,2,1366,Olark Chat Conversation,,Modified
656668,Lead Add Form,Reference,1,0,0,Email Link Clicked,Low in Relevance,Email Link Clicked
656665,API,Organic Search,0,3,124,Converted to Lead,,Modified
656660,API,Google,0,2,135,Email Opened,,Email Opened
656644,Landing Page Submission,Referral Sites,1,5,1216,Email Opened,Might be,Email Opened
656621,Landing Page Submission,Direct Traffic,0,3,35,Email Opened,,Email Opened
656594,API,Olark Chat,1,0,0,Unreachable,Low in Relevance,Unreachable
656589,Landing Page Submission,Google,0,4,157,Email Opened,,Email Opened
656586,API,Olark Chat,0,0,0,Olark Chat Conversation,Not Sure,Modified
656580,API,Referral Sites,0,3,170,Email Opened,,Email Opened
656576,API,Organic Search,0,4,71,Olark Chat Conversation,,Modified
656571,Landing Page Submission,Organic Search,0,5,811,Email Opened,,Email Opened
656563,Lead Add Form,Reference,1,,972,,Low in Relevance,Modified
656560,API,Referral Sites,0,10,278,Page Visited on Website,,Page Visited on Website
656559,API,Olark Chat,0,0,0,Email Opened,,Email Opened
656527,API,Referral Sites,0,5,809,Page Visited on Website,,Modified
656526,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
656516,Lead Add Form,Reference,1,,781,,Low in Relevance,Modified
656511,Landing Page Submission,Google,1,4,1226,Email Opened,Low in Relevance,Email Opened
656504,Landing Page Submission,Google,0,5,1469,Email Link Clicked,,Email Link Clicked
656493,API,Referral Sites,0,5,253,Email Opened,,Email Opened
656492,Lead Add Form,Welingak Website,1,0,0,Email Opened,High in Relevance,Modified
656483,Landing Page Submission,Organic Search,1,4,1378,Had a Phone Conversation,Might be,Modified
656481,API,Referral Sites,0,10,66,Email Opened,Not Sure,Modified
656478,Landing Page Submission,Google,0,4,372,Page Visited on Website,,Modified
656469,API,Organic Search,1,3,1636,Page Visited on Website,,Page Visited on Website
656463,API,Google,0,2,376,Email Opened,,Email Opened
656457,Landing Page Submission,Google,1,1,214,Converted to Lead,,Modified
656448,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
656413,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
656412,Landing Page Submission,Organic Search,0,8,93,Email Opened,,Email Opened
656402,API,Olark Chat,0,0,0,Email Opened,,Email Opened
